"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","","",
"Afghanistan","AFG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","377000","377600","378100","378730","378750","379130","379790","379800","379960","380060","380360","380460","380480","380480","380480","380480","380500","380500","380490","380490","380530","380540","380540","380540","380540","380540","380450","380400","380400","380400","380300","380300","379340","378130","377530","377520","377900","378670","377530","377530","377530","377530","379100","379110","379100","379100","379100","379100","379100","379100","379110","379100","379100","379100","","",
